"letter","type","media","text","tnc","gloss"
"barl","video","Luug","Luug","łuug","fish"
"barl","video","Lii-1","Lii","łii","dog"
"barl","video","gaaL","gaaL","gáał","snare"
"barl","video","nachqekLox","nachqekLox","nach'ekłóx","I am fishing"
"barl","video","tlquuL","tlquuL","tl'uuł","rope"
"d","video","den","den","den","four"
"d","video","kqo3d","kqo3d","k'ôd","enough"
"d","video","shaadeh","shaadeh","shaadeh","my older sister"
"d","video","tuud","tuud","tuud","bald eagle"
"d","video","desh_ax-1","desh_ax","de<u>sh</u>ax","his, hers or its own house"
"d","video","chqelahdziid","chqelahdziid","ch'elahdziid","bee"
"t_glot","video","tqa1ath","tqa1ath","t'áath","cottonwood"
"t_glot","video","deltqel","deltqel","delt'êl","the red one"
"t_glot","video","tqintqeh","tqintqeh","t'int'eh","you are"
"t","video","taag1","taag","taag","three"
"t","video","tsqiit","tsqiit","ts'iit","porcupine"
"t","video","tuutiiL","tuutiiL","tuutiił","cup"
"t","video","naqinth_et","naqinth_et","ná'in<u>th</u>et","you are standing"
"t","video","teyh","teyh","teyh","hill"
"t","video","shi1igot","shi1igot","shíigot","it stung me"
"ee","video","xee","xee","xee","grease"
"ee","video","dzeen","dzeen","dzeen","day"
"ee","video","tthee-2","tthee","tthee","rock"
"ee","video","sh_e1eq","sh_e1eq","<u>sh</u>ée'","only"
"ee","video","e1etqeey","e1etqeey","éet'êey","frybread"
"ee","video","tthqe1ex","tthqe1ex","tth'éex","sinew"
"e","video","chqeth_eth","chqeth_eth","ch'e<u>th</u>eth","its hide"
"e","video","ehtsqeyh","ehtsqeyh","ehts'eyh","it is windy"
"e","video","tsqe1hxeh","tsqe1hxeh","ts'éhxeh","woman"
"e","video","tthek","tthek","tthek","fence"
"e","video","desh_ax-2","desh_ax","de<u>sh</u>ax","his, her or its own house "
"e","video","tuuth_eL","tuuth_eL","tuu<u>th</u>eł","soup"
"e_nasal","video","tsi1nqee","tsi1nqee","tsín'ęę","thank you"
"e_nasal","video","kqe1y","kqe1yq","k'ę́y'","willow"
"e_nasal","video","xunL_ee-2","xunL_ee","xun<u>ł</u>ęę","there is"
"e_nasal","video","shi1q_geyh-2","shiq_geyh","shí' geyh","dry meat"
"e_nasal","video","eetee","eetee","eetęę","she or he is sleeping"
"e_nasal","video","dze1ex_tlqe2yh","dze1ex_tleyh","dzéex tl'ę̌y'","soft spruce pitch"
"a","video","shaa","shaa","shaa","for me"
"a","video","sa1x","sa1x","sáx","gaff hook"
"a","video","kqe1etaa","kqe1etaa","k'éetaa","back to where it was"
"a","video","shda1q","shda1q","shdá'","my chin"
"a","video","saa","saa","saa","the sun"
"a","video","tah","tah","tah","during"
"a_nasal","video","chqeta2aq","chqeta2aq","ch'etą̌ą'","leaf"
